Chainage,Distance(m),UTM_X,UTM_Y,RL,Remarks,Bank
2300,420,793380,2488061,-5.61,Bathy, 
2300,426,793376,2488057,-5.55,Bathy, 
2300,433,793370,2488054,-5.41,Bathy, 
2300,439,793365,2488050,-5.24,Bathy, 
2300,447,793359,2488045,-5.34,Bathy, 
2300,453,793354,2488042,-5.08,Bathy, 
2300,460,793349,2488037,-5.15,Bathy, 
2300,465,793344,2488034,-4.99,Bathy, 
2300,472,793339,2488030,-4.92,Bathy, 
2300,479,793333,2488026,-4.72,Bathy, 
2300,485,793328,2488022,-4.78,Bathy, 
2300,493,793322,2488018,-4.53,Bathy, 
2300,499,793317,2488014,-4.47,Bathy, 
2300,505,793312,2488010,-4.39,Bathy, 
2300,513,793306,2488006,-4.32,Bathy, 
2300,518,793302,2488003,-4.09,Bathy, 
2300,524,793297,2487999,-3.96,Bathy, 
2300,530,793292,2487995,-3.86,Bathy, 
2300,535,793288,2487992,-3.47,Bathy, 
2300,541,793283,2487989,-3.58,Bathy, 
2300,546,793279,2487986,-3.17,Bathy, 
2300,553,793274,2487982,-3.57,Bathy, 
2300,558,793270,2487979,-3.18,Bathy, 
2300,563,793265,2487976,-3.03,Bathy, 
2300,568,793262,2487973,-2.48,Bathy, 
2300,573,793257,2487970,-2.04,Bathy, 
2300,576,793255,2487968,-2.19,Bathy, 
2300,578,793253,2487967,-1.68,Bathy, 
2300,583,793250,2487964,-1.38,Bathy, 
2300,589,793245,2487960,-0.66,Bathy, 
,,,,,,
2400,0,793600,2488385,2.419,Land,Bank
2400,2,793599,2488383,2.519,Land, 
2400,4,793597,2488382,2.619,Land, 
2400,6,793596,2488381,2.139,Land, 
2400,6,793596,2488381,2.529,Land, 
2400,8,793594,2488379,2.039,RBT, 
2400,10,793593,2488378,1.919,Slope, 
2400,11,793592,2488377,1.086,Slope, 
2400,12,793591,2488377,0.975,WL, 
2400,13,793590,2488376,0.475,Sounding, 
2400,15,793589,2488375,0.225,Sounding, 
2400,18,793587,2488373,-0.005,Sounding, 
2400,19,793586,2488372,-3.55,Bathy, 
2400,19,793586,2488372,-0.025,Sounding, 
2400,21,793585,2488371,-4.37,Bathy, 
2400,23,793583,2488369,-5.3,Bathy, 
2400,25,793582,2488368,-0.925,Sounding, 
2400,26,793581,2488367,-6.46,Bathy, 
2400,30,793578,2488365,-7.84,Bathy, 
2400,33,793576,2488363,-8.79,Bathy, 
2400,37,793573,2488360,-9.82,Bathy, 
2400,40,793570,2488358,-10.56,Bathy, 
2400,45,793567,2488355,-11.12,Bathy, 
2400,48,793564,2488353,-11.65,Bathy, 
2400,51,793562,2488351,-12.24,Bathy, 
2400,57,793558,2488347,-12.65,Bathy, 
2400,60,793555,2488345,-12.8,Bathy, 
2400,66,793551,2488341,-12.69,Bathy, 
2400,70,793548,2488338,-12.5,Bathy, 
2400,78,793542,2488333,-13,Bathy, 
2400,84,793537,2488329,-12.79,Bathy, 
2400,89,793534,2488325,-12.57,Bathy, 
2400,94,793530,2488322,-12.45,Bathy, 
2400,101,793525,2488318,-12.16,Bathy, 
2400,106,793521,2488314,-12.12,Bathy, 
2400,111,793517,2488311,-11.87,Bathy, 
2400,117,793513,2488307,-11.8,Bathy, 
2400,122,793509,2488304,-11.64,Bathy, 
2400,126,793506,2488301,-11.55,Bathy, 
2400,130,793503,2488298,-11.44,Bathy, 
2400,137,793498,2488294,-11.17,Bathy, 
2400,141,793495,2488291,-11.01,Bathy, 
2400,146,793491,2488288,-10.86,Bathy, 
2400,152,793487,2488284,-10.59,Bathy, 
2400,155,793484,2488282,-9.63,Bathy, 
2400,159,793481,2488279,-8.75,Bathy, 
2400,165,793477,2488275,-10.07,Bathy, 
2400,171,793473,2488271,-9.71,Bathy, 
2400,176,793469,2488268,-9.37,Bathy, 
2400,182,793464,2488264,-9.09,Bathy, 
2400,186,793461,2488261,-8.95,Bathy, 
2400,193,793456,2488256,-8.68,Bathy, 
2400,198,793452,2488253,-8.44,Bathy, 
2400,205,793447,2488248,-8.2,Bathy, 
2400,210,793443,2488245,-8.11,Bathy, 
2400,217,793438,2488241,-7.87,Bathy, 
2400,224,793433,2488236,-7.79,Bathy, 
2400,229,793429,2488233,-7.59,Bathy, 
2400,237,793423,2488228,-7.53,Bathy, 
2400,244,793418,2488223,-7.42,Bathy, 
2400,249,793414,2488219,-7.33,Bathy, 
2400,258,793408,2488213,-7.21,Bathy, 
2400,265,793402,2488209,-7,Bathy, 
2400,272,793397,2488204,-6.92,Bathy, 
2400,278,793393,2488200,-6.73,Bathy, 
2400,283,793389,2488197,-6.68,Bathy, 
2400,288,793385,2488193,-6.58,Bathy, 
2400,293,793381,2488190,-6.53,Bathy, 
2400,299,793377,2488186,-6.46,Bathy, 
2400,302,793374,2488184,-5.58,Bathy, 
2400,310,793369,2488179,-5.36,Bathy, 
2400,316,793364,2488175,-5.36,Bathy, 
2400,322,793359,2488171,-5.34,Bathy, 
2400,329,793354,2488166,-5.19,Bathy, 
2400,335,793350,2488162,-5.08,Bathy, 
2400,342,793345,2488157,-4.93,Bathy, 
2400,350,793339,2488152,-4.91,Bathy, 
2400,355,793335,2488149,-4.81,Bathy, 
2400,360,793331,2488146,-4.62,Bathy, 
2400,366,793327,2488141,-4.73,Bathy, 
2400,371,793323,2488138,-4.63,Bathy, 
2400,376,793319,2488135,-4.69,Bathy, 
2400,379,793317,2488133,-5.27,Bathy, 
2400,385,793312,2488129,-5.27,Bathy, 
2400,391,793308,2488125,-5.24,Bathy, 
2400,397,793304,2488121,-5.37,Bathy, 
2400,397,793304,2488121,-4.32,Bathy, 
2400,402,793300,2488118,-4.34,Bathy, 
2400,415,793290,2488109,-4.08,Bathy, 
2400,421,793286,2488105,-4.18,Bathy, 
2400,429,793280,2488100,-3.96,Bathy, 
2400,436,793275,2488095,-3.76,Bathy, 
2400,443,793269,2488091,-3.89,Bathy, 
2400,448,793265,2488087,-3.75,Bathy, 
2400,454,793261,2488083,-3.84,Bathy, 
2400,460,793256,2488079,-4.63,Bathy, 
2400,463,793254,2488077,-3.68,Bathy, 
2400,466,793252,2488075,-4.48,Bathy, 
2400,470,793249,2488073,-4.27,Bathy, 
2400,475,793245,2488069,-4.45,Bathy, 
2400,482,793240,2488065,-4.33,Bathy, 
2400,487,793236,2488061,-4.42,Bathy, 
2400,493,793232,2488057,-4.37,Bathy, 
2400,499,793227,2488053,-4.45,Bathy, 
2400,506,793222,2488049,-4.34,Bathy, 
2400,513,793217,2488044,-3.79,Bathy, 
2400,521,793211,2488039,-3.01,Bathy, 
2400,525,793208,2488036,-2.01,Bathy, 
2400,527,793206,2488035,-2.65,Bathy, 
2400,533,793202,2488031,-2.43,Bathy, 
2400,538,793198,2488028,-2.38,Bathy, 
2400,544,793194,2488023,-1.96,Bathy, 
2400,549,793190,2488020,-1.33,Bathy, 
2400,553,793187,2488017,-0.51,Bathy, 
2400,560,793182,2488013,0.17,Bathy, 
2400,565,793178,2488010,0.49,Bathy, 
2400,569,793175,2488007,0.75,Bathy, 
2400,573,793172,2488004,0.94,Bathy, 
,,,,,,
2500,0,793505,2488452,3.282,Land,Bank
2500,3,793503,2488450,3.379,Land, 
2500,4,793502,2488449,3.254,Land, 
2500,8,793499,2488447,2.944,Land, 
2500,10,793498,2488445,2.829,Land, 
2500,13,793496,2488443,2.743,RBT, 
2500,15,793494,2488442,1.784,Slope, 
2500,18,793492,2488440,1.576,Slope, 
2500,19,793491,2488439,1.192,Slope, 
2500,21,793490,2488438,0.961,WL, 
2500,21,793490,2488438,0.426,Sounding, 
2500,23,793488,2488436,0.034,Sounding, 
2500,25,793487,2488435,-2.009,Sounding, 
2500,26,793486,2488434,-2.339,Sounding, 
